"order_number","new_discount_rate","discount_rate_application"
"10443","5%","APPLY_OLD_DISCOUNT_RATE"
"10896","5%","APPLY_OLD_DISCOUNT_RATE"
"10787","10%","APPLY_OLD_DISCOUNT_RATE"
"10501","0%","APPLY_OLD_DISCOUNT_RATE"
"10535","0%","APPLY_OLD_DISCOUNT_RATE"
"10252","0%","APPLY_OLD_DISCOUNT_RATE"
"10919","0%","APPLY_OLD_DISCOUNT_RATE"
"10582","0%","APPLY_OLD_DISCOUNT_RATE"
"10851","0%","APPLY_OLD_DISCOUNT_RATE"
"10366","0%","APPLY_OLD_DISCOUNT_RATE"
"10362","0%","APPLY_OLD_DISCOUNT_RATE"
"10694","10%","APPLY_OLD_DISCOUNT_RATE"
"10385","5%","APPLY_OLD_DISCOUNT_RATE"
"10266","0%","APPLY_OLD_DISCOUNT_RATE"
"10527","5%","APPLY_OLD_DISCOUNT_RATE"
"10516","5%","APPLY_OLD_DISCOUNT_RATE"
"10384","5%","APPLY_OLD_DISCOUNT_RATE"
"10567","5%","APPLY_OLD_DISCOUNT_RATE"
"10844","5%","APPLY_OLD_DISCOUNT_RATE"
"10637","10%","APPLY_OLD_DISCOUNT_RATE"
"10935","0%","APPLY_OLD_DISCOUNT_RATE"
"11020","5%","APPLY_NEW_DISCOUNT_RATE"
"10421","5%","APPLY_OLD_DISCOUNT_RATE"
"10635","5%","APPLY_OLD_DISCOUNT_RATE"
"10633","10%","APPLY_OLD_DISCOUNT_RATE"
"10447","5%","APPLY_OLD_DISCOUNT_RATE"
"10334","0%","APPLY_OLD_DISCOUNT_RATE"
"10634","10%","APPLY_OLD_DISCOUNT_RATE"
"10287","5%","APPLY_OLD_DISCOUNT_RATE"
"10624","0%","APPLY_OLD_DISCOUNT_RATE"
"10981","15%","APPLY_OLD_DISCOUNT_RATE"
"10521","0%","APPLY_OLD_DISCOUNT_RATE"
"10284","0%","APPLY_OLD_DISCOUNT_RATE"
"10663","5%","APPLY_OLD_DISCOUNT_RATE"
"11019","0%","APPLY_NEW_DISCOUNT_RATE"
"10606","5%","APPLY_OLD_DISCOUNT_RATE"
"10248","0%","APPLY_OLD_DISCOUNT_RATE"
"10902","0%","APPLY_OLD_DISCOUNT_RATE"
"10636","0%","APPLY_OLD_DISCOUNT_RATE"
"10402","5%","APPLY_OLD_DISCOUNT_RATE"
"10911","0%","APPLY_OLD_DISCOUNT_RATE"
"10394","0%","APPLY_OLD_DISCOUNT_RATE"
"10267","0%","APPLY_OLD_DISCOUNT_RATE"
"11035","0%","APPLY_NEW_DISCOUNT_RATE"
"10460","0%","APPLY_OLD_DISCOUNT_RATE"
"10803","5%","APPLY_OLD_DISCOUNT_RATE"
"10683","0%","APPLY_OLD_DISCOUNT_RATE"
"10388","5%","APPLY_OLD_DISCOUNT_RATE"
"10552","5%","APPLY_OLD_DISCOUNT_RATE"
"10361","5%","APPLY_OLD_DISCOUNT_RATE"
"10861","0%","APPLY_OLD_DISCOUNT_RATE"
"10317","0%","APPLY_OLD_DISCOUNT_RATE"
"10953","10%","APPLY_OLD_DISCOUNT_RATE"
"10762","10%","APPLY_OLD_DISCOUNT_RATE"
"10950","0%","APPLY_OLD_DISCOUNT_RATE"
"10357","0%","APPLY_OLD_DISCOUNT_RATE"
"10882","0%","APPLY_OLD_DISCOUNT_RATE"
"11024","0%","APPLY_NEW_DISCOUNT_RATE"
"10761","0%","APPLY_OLD_DISCOUNT_RATE"
"11044","5%","APPLY_NEW_DISCOUNT_RATE"
"10360","10%","APPLY_OLD_DISCOUNT_RATE"
"10675","5%","APPLY_OLD_DISCOUNT_RATE"
"10884","5%","APPLY_OLD_DISCOUNT_RATE"
"10537","5%","APPLY_OLD_DISCOUNT_RATE"
"10883","0%","APPLY_OLD_DISCOUNT_RATE"
"10812","0%","APPLY_OLD_DISCOUNT_RATE"
"10699","0%","APPLY_OLD_DISCOUNT_RATE"
"10965","5%","APPLY_OLD_DISCOUNT_RATE"
"10685","5%","APPLY_OLD_DISCOUNT_RATE"
"10847","5%","APPLY_OLD_DISCOUNT_RATE"
"10399","0%","APPLY_OLD_DISCOUNT_RATE"
"11075","0%","APPLY_NEW_DISCOUNT_RATE"
"10747","0%","APPLY_OLD_DISCOUNT_RATE"
"10969","0%","APPLY_OLD_DISCOUNT_RATE"
"10930","5%","APPLY_OLD_DISCOUNT_RATE"
"10927","5%","APPLY_OLD_DISCOUNT_RATE"
"10697","5%","APPLY_OLD_DISCOUNT_RATE"
"10448","0%","APPLY_OLD_DISCOUNT_RATE"
"10406","5%","APPLY_OLD_DISCOUNT_RATE"
"10472","5%","APPLY_OLD_DISCOUNT_RATE"
"10312","0%","APPLY_OLD_DISCOUNT_RATE"
