"supplier_number","Company","address","phone"
"1","Exotic Liquids","49 Gilbert St.","(171) 555-2222"
"2","Nouvelle-Orléans Cajun Delights","P.O. Box 78934","(100) 555-4822"
"4","Tokyo Traders","9-8 SekimaiMusashino-shi","(03) 3555-5011"
"7","Pavlova, Ltd.","74 Rose St.Moonie Ponds","(059) 55-5450"
"12","Plutzer Lebensmittelgroßmärkte AG","Bogenallee 51","(069) 992755"
"16","Bigfoot Breweries","3400 - 8th AvenueSuite 210","(503) 555-9931"
"17","Svensk Sjöföda AB","Brovallavägen 231","08-123 45 67"
"18","Aux joyeux ecclésiastiques","203, Rue des Francs-Bourgeois","01.03.83.00.68"
"20","Leka Trading","471 Serangoon Loop, Suite #402","555-8787"
"23","Karkki Oy","Valtakatu 12","(953) 10956"
